NO,XX,腔調,客語
29829,90.0,大埔,一個有錢个員外討心臼，鬧熱煎煎，鑼鼓喧天，紙炮響無停，花轎來到大門口，媒人打開轎門，分新娘下轎。新娘一踏啊入廳下，愛敬阿公婆个時節，毋堵好嗄「布～～」一聲，家官聽著，面冷雪雪仔講：「布～？還綢喔！」，聰明个小娘姑跈等接嘴講：「阿爸，係𠊎啦！」阿爸面色正轉過來，新娘就對小娘姑講：「阿姑好，阿姑乖，阿姑承屁得金釵！」就送佢一枝金釵。
29652,89.0,大埔,一個有錢个員外討心臼，鬧熱煎煎，鑼鼓喧天，紙炮響無停，花轎來到大門口，媒人打開轎門，分新娘下轎。新娘一踏啊入廳下，愛敬阿公婆个時節，毋堵好嗄「布～～」一聲，家官聽著，面冷雪雪講：「布～？還綢咧！」，聰明个小娘姑跈等接嘴講：「阿爸，係𠊎啦！」阿爸面色正轉過來，新娘斯對小娘姑講：「阿姑好，阿姑乖，阿姑承屁得金釵！」斯送佢一枝金釵。
33219,,大埔,一個痀个細阿姊驚人知佢痀，詐意背在菜園摘菜分佢偷看。
33218,,大埔,一個跛腳个驚分人知佢跛腳，所以騎緊馬去偷看新娘。
34099,72.0,大埔,一個跛腳个驚分人知佢跛腳，所以騎緊馬去偷看新娘。一個宛痀个細阿姊驚人知佢宛痀，詐意背宛宛在菜園摘菜分佢偷看。兩儕結婚咧，正知對方个缺點。老公講：「恁愛，你恁愛，假騎馬，你假摘菜。」餔娘講：「恁愛，你恁愛，你假騎馬，假摘菜；一生人斯愛恩愛。」
34197,72.0,大埔,一個跛腳个驚分人知佢跛腳，所以騎緊馬去偷看新娘。一個宛痀个細阿姊驚人知佢宛痀，詐意背宛宛在菜園摘菜分佢偷看。兩儕結婚咧，正知對方个缺點。老公講：「恁愛，你恁愛，假騎馬，你假摘菜。」餔娘講：「恁愛，你恁愛，你假騎馬，假摘菜；一生人斯愛恩愛。」
33904,72.0,大埔,一個跛腳个驚分人知佢跛腳，所以騎緊馬去偷看新娘。一個宛痀个細阿姊驚人知佢宛痀，詐意背宛宛在菜園摘菜分佢偷看。兩儕結婚咧，正知對方个缺點。老公講：「𠊎恁愛，你恁愛，𠊎假騎馬，你假摘菜。」餔娘講：「𠊎恁愛，你恁愛，你假騎馬，𠊎假摘菜；一生人斯愛恩愛。」
34002,72.0,大埔,一個跛腳个驚分人知佢跛腳，所以騎緊馬去偷看新娘。一個宛痀个細阿姊驚人知佢宛痀，詐意背宛宛在菜園摘菜分佢偷看。兩儕結婚咧，正知對方个缺點。老公講：「𠊎恁愛，你恁愛，𠊎假騎馬，你假摘菜。」餔娘講：「𠊎恁愛，你恁愛，你假騎馬，𠊎假摘菜；一生人斯愛恩愛。」
10346,,大埔,一料豬肉忒等，乜在該堵來堵去，歪看相。
9047,,大埔,一時想毋著，想著正同你講。
28012,,大埔,一般人手頭繷斯較大慨，若係手頭緪斯較囓察。
28104,,大埔,一般人手頭繷斯較大慨，若係手頭緪斯較囓察。
28196,,大埔,一般人手頭繷斯較大慨，若係手頭緪斯較囓察。
8726,,大埔,一般人普遍會恁泥講。
33124,,大埔,一般个爺哀，愛等吊尾槌討餔娘，義務正算圓滿。
11696,,大埔,一般來講，私立學校个學費較貴。
10470,,大埔,一陣人，你一句𠊎一句，十嘴九屎胐，專講該兜不褡不膝个，對問題解決全無較爭。
9920,,大埔,一陣風吹來，油桐花斯嗒嗒跌，當像落雪。
10665,,大埔,一隻豬分四髀。
9861,,大埔,一張桌先放兩罐酒，毋罅正加添。
8652,,大埔,一張嘴唊唊滾，斯係厥缺點。
11668,,大埔,一張嘴緊唊，當吵。
8814,,大埔,一張嘴講到準準。
8815,,大埔,一張嘴講都準準。
11468,,大埔,一部分係厥个。
10363,,大埔,一路里來，生理人講啊著斯愛交際應酬。
10503,,大埔,一儕一禮拜，你兩儕照輪。
9559,,大埔,一講著蛇哥，𠊎斯會起雞嫲皮。
26208,,大埔,一爐香無一碗湯恁值錢。
10673,,大埔,一𨃰長大約二十公分。
10577,,大埔,七早八早斯準備，舞到七晝八晝還吂好勢。
8148,,大埔,了解意思無？
31242,7.0,大埔,二心臼接緊講：「一定會落雨」
31348,7.0,大埔,二心臼接緊講：「一定會落雨」
33097,7.0,大埔,二心臼接緊講：「一定會落雨」
33204,7.0,大埔,二心臼接緊講：「一定會落雨」
33314,7.0,大埔,二心臼接緊講：「一定會落雨」
31247,7.0,大埔,二心臼跈緊講：「竹子生來尾綠綠」
31353,7.0,大埔,二心臼跈緊講：「竹子生來尾綠綠」
33102,7.0,大埔,二心臼跈緊講：「竹子生來尾綠綠」
33209,7.0,大埔,二心臼跈緊講：「竹子生來尾綠綠」
33319,7.0,大埔,二心臼跈緊講：「竹子生來尾綠綠」
28064,,大埔,二叔同大伯借錢，大伯一口應承。
28156,,大埔,二叔同大伯借錢，大伯一口應承。
28248,,大埔,二叔同大伯借錢，大伯一口應承。
28063,,大埔,二叔同大伯借錢，大伯咿咿唔唔。
28155,,大埔,二叔同大伯借錢，大伯咿咿唔唔。
28247,,大埔,二叔同大伯借錢，大伯咿咿唔唔。
28067,,大埔,二叔同大伯借錢，大伯無講好也無拒絕。
28159,,大埔,二叔同大伯借錢，大伯無講好也無拒絕。
28251,,大埔,二叔同大伯借錢，大伯無講好也無拒絕。
28065,,大埔,二叔同大伯借錢，大伯對二叔刨合削。
28157,,大埔,二叔同大伯借錢，大伯對二叔刨合削。
28249,,大埔,二叔同大伯借錢，大伯對二叔刨合削。
28066,,大埔,二叔同大伯借錢，大伯斡頭斯走。
28158,,大埔,二叔同大伯借錢，大伯斡頭斯走。
28250,,大埔,二叔同大伯借錢，大伯斡頭斯走。
10228,,大埔,人不可貌相，看佢戇面戇面，麼人知佢係一間大公司个董事長。
10411,,大埔,人分車撞著，若等人遽遽閃開，莫企在這看生趣。
8418,,大埔,人心隔肚皮。
28149,,大埔,人毋使忒慶忒會，博人惱斯有。
8841,,大埔,人民係國家个主人。
33185,,大埔,人生在世，毋好香臭斯毋知。
29752,,大埔,人生在世，朋友不可少，親戚毋怕多。
28039,,大埔,人生在世，食、著兩事，毋使愁恁多。
26303,,大埔,人生係像黃梨頭西瓜尾，先酸後甜。
11581,,大埔,人生短短，毋好恁計較！
11579,,大埔,人生過到恁苦做麼个？
11580,,大埔,人生過都恁苦做麼个？
10424,,大埔,人同佢講話，佢面竵竵無愛插人。
9872,,大埔,人同禽獸無共款个地方，斯係人有文明。
11348,,大埔,人在看電視，你恬恬莫講話。
31199,,大埔,人多，共下食飯，飯盆頭都分人尖到橫撇咧。
31305,,大埔,人多，共下食飯，飯盆頭都分人尖到橫撇咧。
33054,,大埔,人多，共下食飯，飯盆頭都分人尖到橫撇咧。
33161,,大埔,人多，共下食飯，飯盆頭都分人尖到橫撇咧。
33271,,大埔,人多，共下食飯，飯盆頭都分人尖到橫撇咧。
31200,,大埔,人多，共下食飯較搶篼，飯盆頭个飯分人食淨淨。
31306,,大埔,人多，共下食飯較搶篼，飯盆頭个飯分人食淨淨。
33055,,大埔,人多，共下食飯較搶篼，飯盆頭个飯分人食淨淨。
33162,,大埔,人多，共下食飯較搶篼，飯盆頭个飯分人食淨淨。
33272,,大埔,人多，共下食飯較搶篼，飯盆頭个飯分人食淨淨。
31303,,大埔,人多，無飯食，飯盆頭都分人貶轉來。
33052,,大埔,人多，無飯食，飯盆頭都分人貶轉來。
33159,,大埔,人多，無飯食，飯盆頭都分人貶轉來。
33269,,大埔,人多，無飯食，飯盆頭都分人貶轉來。
31197,,大埔,人多，無飯食，飯盆頭都分人貶轉來。。
31198,,大埔,人多，飯毋罅食，連飯盆頭都分人食撇咧。
31304,,大埔,人多，飯毋罅食，連飯盆頭都分人食撇咧。
33053,,大埔,人多，飯毋罅食，連飯盆頭都分人食撇咧。
33160,,大埔,人多，飯毋罅食，連飯盆頭都分人食撇咧。
33270,,大埔,人多，飯毋罅食，連飯盆頭都分人食撇咧。
31196,,大埔,人多，飯盆頭都會分人食到貶轉來。
31302,,大埔,人多，飯盆頭都會分人食到貶轉來。
33051,,大埔,人多，飯盆頭都會分人食到貶轉來。
33158,,大埔,人多，飯盆頭都會分人食到貶轉來。
33268,,大埔,人多，飯盆頭都會分人食到貶轉來。
9547,,大埔,人有五隻手指，手指公、指人指、棟指、無名指同尾指。
9574,,大埔,人老咧，毋係耳聾聾，斯係目珠花花。
11723,,大埔,人來斯好！毋使恁工夫。
33901,,大埔,人係有作燒嘴渴，滾水愛食加兜。
33999,,大埔,人係有作燒嘴渴，滾水愛食加兜。
34096,,大埔,人係有作燒嘴渴，滾水愛食加兜。
34194,,大埔,人係有作燒嘴渴，滾水愛食加兜。
11221,,大埔,人客來，遽兜去泡茶。
11582,,大埔,人客來兩三張桌，準備毋掣！
33305,,大埔,人害人，佢顛倒較好；天害人，會伸著一把骨。
10241,,大埔,人害人肥卒卒，天害人一把骨。
33303,,大埔,人害人肥律律，天害人一把骨。
10386,,大埔,人拿分你斯食哪，毋好枵鬼假細義，恁泥堵來堵去當歪看。
9905,4.0,大埔,人常講：「日頭雨，晒死鬼」，毋知有影無？
9781,,大埔,人無按算請佢，佢自家弄著來，還緊嫌菜毋好食，當得人惱。
36865,,大埔,人無理，講橫話；牛無力，拖橫耙。
26185,,大埔,人無愛插你，你斯愛知衰。
28072,,大埔,人越急越吩咐，佢越致挑知。
28164,,大埔,人越急越吩咐，佢越致挑知。
28256,,大埔,人越急越吩咐，佢越致挑知。
8708,,大埔,人間滿哪有溫情。
36866,,大埔,人愛人打落，火愛人點著。
28147,,大埔,人愛多學多做，正毋會分人看毋起。
11550,,大埔,人愛知感謝正好。
36863,,大埔,人敬有錢儕，狗跈屙屎者。
9228,,大埔,人過身愛去拈香。
9146,,大埔,人靚毋當命靚。
25293,,大埔,人戴別莊，會斯文又發財。
33839,3.0,大埔,人講：手工攣衫，針行一步線行一步，針過線斯過。
33937,3.0,大埔,人講：手工攣衫，針行一步線行一步，針過線斯過。
34034,3.0,大埔,人講：手工攣衫，針行一步線行一步，針過線斯過。
34132,3.0,大埔,人講：手工攣衫，針行一步線行一步，針過線斯過。
10618,,大埔,人講「遠親不如近鄰」，確實毋會差！
33914,,大埔,人講「親戚斯像牽鋸」，你有來𠊎斯有去。毋像上屋阿通哥，神投投挶屎轟天，齧察又毋𢯭眾，不管你麼儕屋家有麼个好歪事從生毋識𢯭，當無人緣。
9151,,大埔,人講个「捉貓子，看貓嫲」，正式有影！
10502,,大埔,人講家娘無好樣，心臼照樣，所以世大人愛做正。
10300,,大埔,人講豬嫲肥豬子旺，家底好个人較有錢繳子弟讀書。
12062,,大埔,入去圖書館愛細聲。
10659,,大埔,入年假了後，剃頭斯愛起價咧。
11011,,大埔,入來坐、拿入來。
8443,,大埔,入到新環境愛定定適應。
8941,,大埔,入門愛同爺哀問安。
37019,,大埔,入屋，請脫鞋。
11269,,大埔,入新屋愛擇日。
8536,,大埔,八月半焙肉。
11408,,大埔,刀尖尖，你愛擎好來。
11229,,大埔,刀無利，阿爹拿去挼挼哩！
31215,,大埔,刀劍使得防身，言語使得交心，所以愛多練武、多講話，毋使細義。
31321,,大埔,刀劍使得防身，言語使得交心，所以愛多練武、多講話，毋使細義。
33070,,大埔,刀劍使得防身，言語使得交心，所以愛多練武、多講話，毋使細義。
33177,,大埔,刀劍使得防身，言語使得交心，所以愛多練武、多講話，毋使細義。
33287,,大埔,刀劍使得防身，言語使得交心，所以愛多練武、多講話，毋使細義。
31213,,大埔,刀劍無目珠，多講又恁𤸁，傷身又傷心，所以毋好恁好講話弄刀。
31319,,大埔,刀劍無目珠，多講又恁𤸁，傷身又傷心，所以毋好恁好講話弄刀。
33068,,大埔,刀劍無目珠，多講又恁𤸁，傷身又傷心，所以毋好恁好講話弄刀。
33175,,大埔,刀劍無目珠，多講又恁𤸁，傷身又傷心，所以毋好恁好講話弄刀。
33285,,大埔,刀劍無目珠，多講又恁𤸁，傷身又傷心，所以毋好恁好講話弄刀。
36994,,大埔,十二點，好食晝咧！
31172,,大埔,十三、四歲，半大細个人條，當轉骨，愛當多來食。
34120,,大埔,十五六歲个人條／後生，食大人飯，屙細人屎，當會大。／食量大，消化好，大當遽。
10824,,大埔,十外年正見一到，這下佢毋識你咧。
10444,,大埔,十外年無看著，這下路項堵著做下認毋出。
25087,,大埔,十年前个正月半邊，有一日下晝，阿雄哥帶緊10歲个妹去中正紀念堂遶尞，無想著會分佢聽著從細斯當熟个八音，佢當歡喜，因為這係佢上來臺北讀大學以後，到今20年來第一擺在臺北市个公共場所聽著八音。佢黏時想起，從細屋家大人斯有講，八音響起个時節，斯係會有大事情。到這下，這兜話佢還記在心肝肚。因致，佢斯牽緊妹跈緊八音響个該片行過去。佢同妹講，「定著有已大个事情發生，正會有八音。這係若爹同若奶從細教𠊎个，你也愛知正好。」
25216,,大埔,十年前个正月半邊，有一日下晝，阿雄哥帶緊10歲个妹去中正紀念堂遶尞，無想著會分佢聽著從細斯當熟个八音，佢當歡喜，因為這係佢上來臺北讀大學以後，到今20年來第一擺在臺北市个公共場所聽著八音。佢黏時想起，從細屋家大人斯有講，八音響起个時節，斯係會有大事情。到這下，這兜話佢還記在心肝肚。因致，佢斯牽緊妹跈緊八音響个該片行過去。佢同妹講，「定著有已大个事情發生，正會有八音。這係若爹同若奶從細教𠊎个，你也愛知正好。」
36778,,大埔,十年前个正月半邊，有一日下晝，阿雄哥帶緊10歲个妹去中正紀念堂遶尞，無想著會分佢聽著從細斯當熟个八音，佢當歡喜，因為這係佢上來臺北讀大學以後，到今20年來第一擺在臺北市个公共場所聽著八音。佢黏時想起，從細屋家大人斯有講，八音響起个時節，斯係會有大事情。到這下，這兜話佢還記在心肝肚。因致，佢斯牽緊妹跈緊八音響个該片行過去。佢同妹講，「定著有已大个事情發生，正會有八音。這係若爹同若奶從細教𠊎个，你也愛知正好。」
10627,,大埔,十做九無成，做到心虛虛。
33880,,大埔,十過個叔伯姊妹，分三間伙房屋。
33978,,大埔,十過個叔伯姊妹，分三間伙房屋。
34075,,大埔,十過個叔伯姊妹，分三間伙房屋。
34173,,大埔,十過個叔伯姊妹，分三間伙房屋。
10558,,大埔,十點正開會，你吂得時斯去做麼个？
31297,,大埔,十點正開會，你吂曾吂斯去做麼个？
31298,,大埔,十點正愛開會，十點以前，你想愛做麼个？
31301,,大埔,十點正愛開會，時間過撇咧正到，實在還無下落。
31300,,大埔,十點正愛開會，時間還吂到，你先去做別項事情。
31299,,大埔,十點正愛開會，時間還吂到，你斯去做麼个？
25238,,大埔,又起風咧，風沙恁大，目珠強強擘毋開
8514,,大埔,三十暗晡个飯甑－無閒。
35821,,大埔,三十暗晡食飽夜，大人斯愛開始分矺年錢。
31243,7.0,大埔,三心臼接落去：「笠嫲拿來抵」
31349,7.0,大埔,三心臼接落去：「笠嫲拿來抵」
33098,7.0,大埔,三心臼接落去：「笠嫲拿來抵」
33205,7.0,大埔,三心臼接落去：「笠嫲拿來抵」
33315,7.0,大埔,三心臼接落去：「笠嫲拿來抵」
31248,6.0,大埔,三心臼隨接：「尋著一支做竹簫」
31354,6.0,大埔,三心臼隨接：「尋著一支做竹簫」
33103,6.0,大埔,三心臼隨接：「尋著一支做竹簫」
33210,6.0,大埔,三心臼隨接：「尋著一支做竹簫」
33320,6.0,大埔,三心臼隨接：「尋著一支做竹簫」
8472,,大埔,三日打魚四日晒網。
34064,,大埔,三日係食臭餿飯，這件事情你斯毋使做。
34066,,大埔,三日臭餿飯毋食，事情使得請人做。
28957,54.0,大埔,三生有幸一線牽，男女結親係姻緣。毋知經過幾多擺个揀揀擇擇，下屋阿仁伯个滿女愛定婚咧！佢風神諜諜同隔壁鄰舍講：「吾該個嬌尸沷沷个妹，下次月初十愛定人哩喲！到時有請電子樂團來表演，還挼惜圓、打粢粑，大家愛來分𠊎請哦！」看佢講去口涎波沷，暢都耐毋得。照阿泥看，阿仁伯這擺妹定人，怕會豬嫲落菜園──大逩一擺哩喲！
26462,,大埔,三光半夜毋好毛披披行出來，會嚇著人。
10023,,大埔,三步腳都毋出門，外背有麼个事你乜毋知。
9386,,大埔,三乘六。
10456,,大埔,三做四毋著，做去全無自信咧。
9807,,大埔,三揀四揀，揀著一個賣牛眼；三擇四擇，擇著一個賣瓠杓。
8524,,大埔,三層肉搵橘醬食。
25112,,大埔,上下車愛照順序排列，毋好尖來尖去
35843,,大埔,上司管下司，钁頭管畚箕。
11917,,大埔,上回有講過，仰又毋記得？
10582,,大埔,上早，𠊎正同你講啊撇，你又毋記得。
33826,,大埔,上早／頭擺个人會看／觀察天頂星宿个變化，來斷／判斷人間个吉凶。
10583,,大埔,上早人，有好食斯好偷笑咧。
31266,,大埔,上坵田係吾伯个，這下贌人種西瓜。
33298,,大埔,上坵田係吾伯个，這下贌人種西瓜。
26443,116.0,大埔,上屋有一個人安做阿朋牯，長在做麼个都無決無截，逐擺湊佢共下做一樣事情，明明講好咧，見擺愛去該下，佢又跔撇咧。像上擺佢講愛買屋，自家个阿叔做中人，價數、訂金、交屋个條件做下講好勢咧，斯爭差吂有寫字打契約；到第二日，阿朋牯走去同厥叔講：無愛買咧。
33136,,大埔,上屋伯婆割半肥腈个豬肉來炆爌肉，愛請厥婿郎。
11762,,大埔,上屋叔婆當多歲咧！
35865,,大埔,上屋阿投叔姆降有三男兩女，阿宏排盡細，阿投叔同阿投叔姆兩老，惜都心肝命袋个樣。阿宏生來高溜高溜已硬程，從細斯已會讀書，對國小國中，逐學期个成績毋識打落第二崁，房頭內个叔公阿伯，見擺拜祖公共下个時節，做下都阿腦到企起來。高中、大學聯考，毋使講係第一志願建中、臺大。做兵轉來在臺北食頭路，毋使幾久斯升到高級主管，也難怪阿投叔恁風神，喋喋滾。
8062,,大埔,上個月又入院。
8023,,大埔,上個月出麻。
9368,,大埔,上個月該公司个工人罷工。
8965,,大埔,上家下屋有來有去，感情當好。
9124,,大埔,上滿同佢共下去食酒。
28055,,大埔,上臺演講大家都會結舌締碓。
28057,,大埔,上臺演講無恁難，慢慢練習毋使驚生分。
37477,,大埔,上課毋好啄目睡。
11764,,大埔,上擺有講過，仰脣又毋記得？
9056,,大埔,上擺借佢一支筆，喊佢同筆拿來還，佢硬硬毋肯。
9061,,大埔,上擺跌倒个地方，還略略會疾。
25307,61.0,大埔,上禮拜日，𠊎去同學昂妹屋家尞，厥爸阿楚叔同厥伯阿開伯在廳下坐緊，𠊎同昂妹斯去屋側角份家啦。無幾久，聽著阿楚叔大嫲聲講：秋風起咧。阿開伯大聲應講：「哈嗯！舅公死咧呀？哪久呢？」阿楚叔又當大聲講：「你聽差咧！」阿開伯應還較大聲講：「打落廳下咧呀！恁衰過！」
33913,,大埔,上禮拜日下屋阿德叔討餔娘，房內人同隔壁鄰舍當多人來𢯭手同食酒，老古人講「一人有福，牽帶滿屋」又講「一人有事大家忙，一家有事大家幫」，因致阿德叔對人起客合有禮貌，平常時同隔壁鄰舍和和挼挼，堵到好壞事也已肯同人𢯭手，所以厥等正會麼个較無閒乜挷工挷工來參加。
10556,,大埔,上禮拜同你借个書還吂看撇，加兩日添正還你好無？
9326,,大埔,上禮拜這金店分賊偷。
9572,,大埔,上禮拜割著个傷口，會㪐皮咧，當癢。
8437,,大埔,上禮拜離開臺灣。
11623,,大埔,下次擺你來，換𠊎招待你。
11677,,大埔,下次擺愛記得帶，知無？
37455,,大埔,下次擺過再約時間共下坐尞。
8848,,大埔,下次擺選舉愛等四年。
28148,,大埔,下把下推懶，正毋會食虧。
9038,,大埔,下把會分佢譴死。
33328,,大埔,下後，厥姆喊妹去問厥爸，毛織放在哪位？原來在禾稈堆囥緊，尋著後，著緊斯飛走咧，無幾久，又同三個妹帶走咧。
11441,,大埔,下個月个會議，𠊎無法度參加。
9219,,大埔,下個月老妹斯愛過定。
9893,,大埔,下班个時節堵著喊頭斗雨，一下歸身涿到潦潦。
26277,,大埔,下班个時節堵著落斗雨，一下歸身斯涿著澇澇。
8875,,大埔,下班來打鬥四，愛無？
11692,,大埔,下班進前愛交出來。
11680,,大埔,下晝去改菜園。
9979,,大埔,下晝阿姆無在，若係肚屎枵斯自家去灶下變食。
9925,,大埔,下晝頭正做事个人較少，車枋斯放冗咧。
11228,,大埔,下晝頭有點心好食。
9443,,大埔,下課時節，細人排列吊晃槓。
9456,,大埔,下課尞十分鐘。
10937,,大埔,下禮拜一愛記得交作業。
12039,,大埔,下禮拜一愛開學咧。
9435,,大埔,下禮拜一補考。
11984,,大埔,下禮拜一請假。
12030,,大埔,下禮拜六學校辦運動會。
36798,,大埔,下禮拜有閒，請來參加吾學校个校慶活動
10632,,大埔,下禮拜考試，會知佢準備好吂？
12000,,大埔,下禮拜放尞。
10788,,大埔,下禮拜愛考試，你知無？
11609,,大埔,下禮拜愛討親，會緊張無？
9215,,大埔,下禮拜愛掛紙，去風水該項同草伐伐哩。
11568,,大埔,下禮拜愛開會。
11608,,大埔,乞食在路項同人討食。
26244,,大埔,千年修來共枕眠。
26337,,大埔,千年修來共枕眠。
26429,,大埔,千年修來共枕眠。
26522,,大埔,千年修來共枕眠。
26613,,大埔,千年修來共枕眠。
10458,,大埔,千差萬差全𠊎差你無差，恁泥使得無？
26207,,大埔,千跪萬拜一爐香，毋當在生一碗湯。
10763,,大埔,口涎水溚溚跌。
9930,,大埔,口涎溚溚跌。
10716,,大埔,大人細子都當好看人變把戲。
10314,,大埔,大人無在屋家，細人斯變鬼變怪，搞到貶轉來。
10888,,大埔,大人講个話愛聽。
11927,,大埔,大大口食，一下斯食撇咧。
33203,6.0,大埔,大心臼就講：「東片雲頭起」
31241,6.0,大埔,大心臼斯講：「東片雲頭起」
31347,6.0,大埔,大心臼斯講：「東片雲頭起」
33096,6.0,大埔,大心臼斯講：「東片雲頭起」
33313,6.0,大埔,大心臼斯講：「東片雲頭起」
31246,7.0,大埔,大心臼開頭講：「老爺面前一支竹」
31352,7.0,大埔,大心臼開頭講：「老爺面前一支竹」
33101,7.0,大埔,大心臼開頭講：「老爺面前一支竹」
33208,7.0,大埔,大心臼開頭講：「老爺面前一支竹」
33318,7.0,大埔,大心臼開頭講：「老爺面前一支竹」
10055,,大埔,大水過，河壩水啵啵滾拚緊出。
34167,,大埔,大牛牯正桊鼻，險險會牽毋贏。
10481,,大埔,大目新娘，看灶頭毋著。
10512,,大埔,大約五十歲出頭。
10301,,大埔,大家人為著厥事情傱上傱落，佢嗄在該山歌溜天。
9214,,大埔,大家已看好這段婚姻。
9667,,大埔,大家分佢騙去譴呰呰，佢自家嗄恬恬偷暢。
10396,,大埔,大家正討論煞，佢又接嘴來講。
8890,,大埔,大家全喊佢搞頭王。
37003,,大埔,大家共下來去打鬥四。
26620,,大埔,大家同佢𢯭手，這種頭路佢正做得落去。
28071,,大埔,大家吩咐个事情，佢續緊做斯做好咧。
28163,,大埔,大家吩咐个事情，佢續緊做斯做好咧。
28255,,大埔,大家吩咐个事情，佢續緊做斯做好咧。
8844,,大埔,大家到司令臺集合。
36017,,大埔,大家明明係無長錢，還搶緊去買化妝品。
11533,,大埔,大家表現都當好。
8175,,大埔,大家都已同情佢。
25147,,大埔,大家都無愛坐這流籠，又高又長，嚇去歸身汗。
11325,,大埔,大家圍核圓桌食飯。
10317,,大埔,大家尞核好好，講兩句佢毋中意聽个話，佢斯掣緊走。
10430,,大埔,大家無愛聲佢忒等，佢嗄陣陣上。
8276,,大埔,大家愛多接觸大自然。
10858,,大埔,大家愛相信佢。
25167,,大埔,大家當好揇這個細人，因為佢全毋會驚人。
9053,,大埔,大家還有進一步个想法無？
8037,,大埔,大家驚食著先生个口涎渣，無人愛坐盡頭前。
9342,,大埔,大陸个遊客緊來緊少。
8354,,大埔,大象鼻公長長。
9451,,大埔,大學个校園較大。
8870,,大埔,大樹下係坐尞个好所在。
9874,,大埔,大頭狗細罔細，分佢咬著斯會當癢。
